File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f450_470.o,60.257446%,8192,464,36,428,0,8192
bl_core.o,30.128723%,4096,2712,2638,74,0,4096
fun.o,5.649136%,768,896,896,0,0,768
usart_app.o,3.788157%,515,106,106,0,0,515
gd32f4xx_pmu.o,0.117690%,16,280,280,0,0,16
systick.o,0.029423%,4,98,98,0,0,4
system_gd32f4xx.o,0.029423%,4,694,690,0,4,0
